iter	Passed	Remaining
0	0	79
1	1	73
2	2	69
3	2	63
4	3	62
5	4	63
6	4	62
7	5	61
8	6	61
9	6	61
10	7	61
11	8	60
12	8	60
13	9	59
14	10	58
15	10	57
16	11	56
17	12	56
18	12	55
19	13	54
20	14	53
21	14	52
22	15	51
23	16	50
24	16	50
25	17	49
26	17	48
27	18	47
28	19	47
29	19	46
30	20	45
31	21	44
32	21	43
33	22	43
34	23	42
35	23	42
36	24	41
37	25	40
38	25	40
39	26	39
40	27	39
41	27	37
42	28	37
43	28	36
44	29	35
45	30	35
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	19
70	44	18
71	45	17
72	46	17
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	10
84	53	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
