iter	Passed	Remaining
0	134	133959
1	134	67203
2	135	44949
3	135	33820
4	136	27166
5	137	22723
6	137	19550
7	138	17162
8	138	15303
9	139	13811
10	140	12593
11	140	11579
12	141	10717
13	141	9978
14	142	9337
15	142	8775
16	143	8279
17	143	7839
18	144	7444
19	144	7090
20	145	6770
21	145	6477
22	146	6211
23	146	5967
24	147	5743
25	147	5534
26	148	5343
27	148	5169
28	149	5002
29	149	4847
30	150	4702
31	151	4571
32	151	4444
33	152	4327
34	152	4215
35	153	4111
36	154	4011
37	154	3918
38	155	3828
39	155	3743
40	156	3662
41	157	3583
42	157	3508
43	158	3436
44	158	3366
45	159	3300
46	159	3236
47	160	3176
48	160	3117
49	161	3061
50	161	3007
51	162	2955
52	162	2907
53	163	2860
54	163	2815
55	164	2772
56	165	2730
57	165	2691
58	166	2653
59	167	2617
60	167	2580
61	168	2544
62	168	2510
63	169	2475
64	169	2442
65	170	2410
66	170	2378
67	171	2348
68	171	2318
69	172	2289
70	172	2261
71	173	2234
72	173	2207
73	174	2182
74	174	2157
75	175	2133
76	175	2109
77	176	2086
78	177	2065
79	177	2044
80	178	2024
81	178	2003
82	179	1980
83	179	1960
84	180	1940
85	180	1922
86	181	1904
87	182	1888
88	182	1871
89	183	1854
90	184	1838
91	184	1821
92	185	1804
93	185	1788
94	186	1772
95	186	1756
96	187	1741
97	187	1726
98	188	1711
99	188	1696
100	189	1682
101	189	1668
102	190	1655
103	190	1641
104	191	1628
105	191	1616
106	192	1604
107	192	1591
108	193	1579
109	193	1567
110	194	1555
111	194	1544
112	195	1532
113	195	1521
114	196	1511
115	196	1501
116	197	1491
117	198	1481
118	198	1471
119	199	1461
120	199	1451
121	200	1441
122	200	1431
123	201	1421
124	201	1412
125	202	1402
126	202	1392
127	203	1383
128	203	1375
129	204	1366
130	204	1357
131	205	1349
132	205	1340
133	206	1332
134	206	1324
135	207	1316
136	207	1308
137	208	1300
138	208	1293
139	209	1285
140	209	1277
141	210	1269
142	210	1262
143	211	1255
144	211	1249
145	212	1242
146	213	1236
147	213	1229
148	214	1223
149	214	1216
150	215	1210
151	215	1203
152	216	1196
153	216	1190
154	217	1184
155	217	1177
156	218	1171
157	218	1165
158	219	1159
159	219	1153
160	220	1147
161	220	1141
162	221	1136
163	221	1130
164	222	1126
165	223	1121
166	223	1116
167	224	1111
168	225	1106
169	225	1101
170	226	1096
171	226	1092
172	227	1087
173	228	1083
174	228	1078
175	229	1073
176	229	1068
177	230	1063
178	230	1059
179	231	1054
180	231	1049
181	232	1044
182	232	1039
183	233	1035
184	233	1030
185	234	1026
186	235	1021
187	235	1017
188	236	1013
189	236	1008
190	237	1004
191	237	999
192	238	995
193	238	991
194	239	986
195	239	982
196	240	978
197	240	974
198	241	970
199	241	967
200	242	964
201	243	960
202	243	956
203	244	952
204	244	948
205	245	945
206	245	941
207	246	937
208	246	933
209	247	929
210	247	926
211	248	922
